EnergiaFotovoltaica
24.202787499999996,
19.72982,
36.62912699577203,
63.45645833333333,
63.23836666666667,
52.64075742129646,
40.95428770080267,
39.189195833333336,
15.983947916666665,
14.813582916666666,
35.79496319259278,
63.2115875,
64.27702506968315,
60.03816607884087,
44.01946685543137,
40.051449999999996,
17.150296666666666,
15.476462500000002,
40.51863393100859,
72.8348633820312,
69.26441341934681,
61.59185431620265,
45.350851776117146,
44.3057,
23.859020833333332,
18.690602916666666,
27.88010233544328,
74.26635633796108,
77.58860725576884,
66.32538846417214,
48.78006057167386,
46.439766666666664,
28.028979166666662,
21.179041666666663,
32.82085175526569,
76.79475996801956,
78.16361620570285,
69.04998760566104,
48.441925213988384,
45.1907625,
27.233166666666666,
20.57759583333333,
28.918540950783125,
59.130977886429726,
55.832172320877824,
48.42802887842209,
49.45939166666667,
41.100137499999995,
17.414526249999998,
16.29741375,
37.84511360174449,
63.3842755921493,
62.39920833333334,
54.916464064875015,
44.68999323154167,
41.945037500000005,
18.756251250000002,
17.356860833333332,
39.97511103132836,
70.0227334003484,
70.12301391738555,
67.46786896667105,
51.254500550858715,
42.490454166666666,
19.162586666666666,
17.707960416666666,
47.3123084772574,
86.56267937503435,
88.65845096873932,
77.44849074328822,
61.4240274978031,
40.251856641831814,
30.684976700148326,
38.60049407947852,
64.8495163583094,
102.48784737818035,
101.22712052628452,
88.00963983067818,
68.98294018817982,
49.51085925157043,
26.56039162178104,
21.46320222323492,
29.428558577176243,
65.44646638894352,
67.21311220781779,
57.82874248127362,
54.99437916666667,
47.26979166666666,
28.279374999999998,
21.582649999999997,
37.38488877905923,
67.78758111379454,
56.02903517579487,
46.27334567275213,
54.58283749999999,
45.367774999999995,
19.637694166666666,
16.982308333333332,
38.85792275048996,
63.61543526709243,
64.70420755764951,
53.4263497532365,
54.94826666666666,
43.90109999999999,
19.605365833333334,
18.122229166666664,
39.01731327448591,
63.5216406698249,
63.45525833333335,
51.58480360534025,
54.97206666666667,
43.47170833333333,
19.40033875,
17.915218749999998,
39.978344204103664,
64.8543885878509,
63.70252043349472,
56.13833691973406,
47.45376750590756,
43.40774583333333,
19.24985333333333,
17.84505833333333,
39.31849410510845,
63.57540574064296,
66.3246242906658,
57.03246978035988,
47.574617980364316,
43.088429166666664,
18.249608749999997,
16.836186249999997,
39.08797735040327,
63.39830416666667,
64.55197083333333,
54.06538882608885,
46.210658506742185,
48.12857499999999,
25.642037499999997,
22.406430862812332,
49.4959423859604,
94.31187246151616,
83.12371553550801,
71.9591764938833,
51.8088641600369,
47.47308333333333,
28.408291666666667,
21.680825,
32.10064862133649,
57.09848796631212,
59.0127423135451,
53.70662099164381,
55.58342916666667,
46.37977083333333,
19.87579333333333,
17.185104166666665,
45.49709773369256,
81.85875540897972,
74.2160250408159,
61.83163307094109,
49.07829146091271,
42.76396274947376,
40.962420026586756,
87.23813560818111,
61.67146187848033,
107.79778915082413,
87.86489872726979,
77.02015612680805,
60.02640410439537,
44.93392083333333,
19.879264166666662,
18.302315833333335,
47.06145656747841,
83.44293360129977,
92.44834804516711,
82.4590295399171,
58.73439951631945,
44.8337625,
19.88189208333333,
18.278763749999996,
43.656858360441355,
71.67518870356669,
79.35725680187552,
72.02819828217838,
54.480095722791,
43.932337499999996,
22.314950335139628,
23.97365965927907,
48.27367744782142,
90.47170112902218,
81.71156872839235,
80.68272412225348,
52.04128845327677,
48.615979166666655,
25.817562499999998,
20.15812083333333,
32.41716242431651,
79.84855871753224,
93.05377057358494,
87.16692687986593,
60.516966189284666,
46.989149999999995,
28.372591666666665,
21.66347083333333,
32.205030245332715,
50.42203077670424,
53.965230082750416,
57.74213864347485,
51.808670700116515,
45.26017916666666,
13.477207729962101,
18.386781601147227,
32.85802937330698,
71.24954963154727,
87.87464856123945,
89.56217362391114,
56.61421446667381,
43.617483333333325,
19.519735416666663,
18.183067916666662,
34.246399406843295,
53.889878669030814,
56.913193446644506,
52.586412211977425,
49.50842570185403,
44.574441666666665,
19.860571249999996,
18.507094999999996,
29.936195902064366,
46.289703837232686,
48.86143436747079,
48.85970794276134,
48.45742677982714,
44.365199999999994,
19.64190875,
18.188621249999997,
30.42179899005951,
43.64778717209279,
44.47381588817991,
43.00463333333334,
56.365358333333326,
44.51692500000001,
18.678291286700524,
19.715146589911242,
40.55835957376035,
69.20252541800711,
67.9996771526039,
62.10351012477266,
51.97538366526722,
48.18162916666666,
24.292379166666663,
19.23671375,
48.955525347892085,
65.02223145068486,
63.99019258427899,
55.06382251035283,
54.23674583333334,
46.183916666666654,
27.395304166666662,
20.52999583333333,
46.28891683551533,
63.77287109359374,
56.77493776026042,
48.21954618034724,
53.232683333333334,
45.4124,
19.753223333333334,
17.055195833333332,
30.053538917688275,
47.22162700499231,
54.66668836596926,
55.66662433004495,
49.33339243755333,
44.455441666666665,
18.711130416666663,
17.313376249999994,
43.989055446534145,
66.52872987125338,
67.56425637370637,
67.95104157348273,
53.81571024414834,
43.744416666666666,
19.048644166666666,
17.533873333333332,
27.147928429312497,
38.63503795106251,
43.115175451062505,
43.22875,
53.90850416666667,
43.0963625,
18.740434166666663,
17.275692916666667,
32.17298586398277,
44.623885743557274,
46.33269150181733,
45.818123495400606,
53.527208333333334,
42.37393333333333,
17.81620083333333,
16.202015416666665,
27.525565430916174,
41.45890599716862,
44.85305599716862,
43.19354583333333,
53.790495833333324,
46.773462499999994,
24.288412499999996,
18.942635,
47.50549441779187,
64.40829874111182,
65.68674847745248,
62.15251284646471,
49.1176394985832,
45.44809999999999,
26.616349999999997,
19.832507083333336,
28.555472977058447,
44.56190073417605,
48.78341934946686,
45.12580833333332,
52.72247083333332,
44.034975,
18.877036249999993,
16.282786666666663,
30.73830543436271,
56.10182574958512,
70.80719638825138,
72.0255266368663,
53.05675160749097,
43.95365833333333,
18.75020208333333,
17.27251958333333,
28.486167421436154,
40.91833529228791,
47.58530109945093,
45.38017083333333,
55.306258333333325,
43.320479166666665,
19.00144083333333,
17.521874166666667,
51.38399103013739,
64.41966665801816,
62.10938335982596,
54.180073430861334,
48.3569733744192,
43.261475,
18.63219375,
17.107159166666666,
52.0537516290091,
65.4089799380079,
62.5336146420206,
56.842070670017144,
48.76554912061243,
42.12799999999999,
17.694870416666664,
16.147721666666666,
47.638084617786745,
63.929326032669536,
63.44265426669455,
57.581366984605474,
46.38343693939819,
45.603791666666666
