Demanda
40.076,
41.356674999999996,
36.509525,
34.25453333333333,
38.192858333333334,
38.54958333333333,
42.39595833333334,
44.35689166666667,
44.3524625,
43.895070833333335,
44.289625,
43.45875833333334,
40.457875,
45.70605833333333,
46.10584166666666,
46.950966666666666,
45.82463333333333,
44.82488333333333,
43.82354166666667,
41.742583333333336,
46.29444166666666,
47.444383333333334,
47.14540833333333,
46.61340000000001,
46.834583333333335,
43.35633333333333,
41.93783333333333,
45.78954999999999,
46.73384166666666,
47.724629166666666,
47.731408333333334,
46.80372083333333,
44.4062375,
43.352833333333336,
45.48051666666667,
47.02180833333334,
48.34878333333333,
46.2144375,
47.39337916666667,
45.017358333333334,
42.82617916666667,
47.555145833333334,
48.50465833333333,
47.641349999999996,
48.249179166666664,
47.787287500000005,
44.693349999999995,
44.72625,
46.00004583333333,
47.35916666666667,
47.37831666666666,
47.70241250000001,
49.80244583333334,
45.50510416666667,
42.20158333333333,
47.070499999999996,
46.31244583333333,
46.01391666666667,
44.08540833333333,
41.993141666666666,
42.089425,
44.959075,
47.07138333333333,
47.020287499999995,
46.80874583333333,
45.524725000000004,
40.50065416666666,
39.16811666666666,
44.915400000000005,
46.1130625,
45.531166666666664,
43.86463333333333,
44.5160125,
40.31685416666667,
39.59480416666667,
38.03049583333333,
39.540279166666664,
42.24630416666666,
41.99639583333334,
41.37164166666666,
37.74671666666667,
37.72855,
45.185175,
45.636874999999996,
41.64075833333334,
38.191270833333334,
42.72202916666667,
36.14616666666666,
37.00745,
39.75689583333333,
35.45666666666667,
32.77101666666667,
32.66402083333333,
32.73662916666666,
32.56693333333333,
33.804883333333336,
38.9772375,
40.848483333333334,
40.57329166666666,
39.632324999999994,
40.047983333333335,
36.8472625,
35.421045833333324,
41.718783333333334,
41.133691666666664,
39.536525,
38.618945833333335,
36.079116666666664,
38.24830833333333,
36.08700416666667,
39.6179875,
38.789141666666666,
39.699324999999995,
39.672475000000006,
39.3914625,
35.80820416666666,
32.645804166666665,
32.076504166666666,
31.04874583333333,
31.2860125,
34.5142625,
35.87526666666666,
30.626866666666665,
32.69025416666666,
38.88747500000001,
40.037283333333335,
39.33584166666667,
40.97717083333333,
40.15442916666667,
38.88087083333333,
38.12220833333334,
41.55342499999999,
44.45637083333333,
42.47773333333333,
41.78804583333334,
42.071579166666666,
37.351708333333335,
36.208308333333335,
42.44007083333334,
42.89592083333334,
41.64027083333333,
44.6666125,
42.765591666666666,
37.967083333333335,
37.4453,
43.47614166666666,
40.76811666666667,
41.94654583333334,
39.10369166666667,
37.1979,
36.583937500000005,
37.725966666666665,
43.04755416666666,
43.4590875,
44.32190000000001,
43.63014583333333,
42.488637499999996,
41.32886666666667,
39.3385875,
44.396587499999995,
44.705979166666665,
44.978975,
43.88880833333333,
43.95788333333333,
41.524924999999996,
40.798458333333336,
44.584041666666664,
43.838987499999995,
44.48815416666666,
44.088750000000005,
44.66674166666667,
40.26380833333333,
40.80370833333333,
46.69220833333333,
43.0260875,
44.23124166666667,
45.17232916666667,
43.466787499999995,
40.97785416666667,
39.38708333333334,
44.218,
43.28263333333334,
45.59416666666666,
44.813874999999996,
43.63666666666667,
41.08433333333333,
39.412124999999996,
45.586,
45.443375,
44.410941666666666,
46.346833333333336,
45.695499999999996,
40.46120416666666,
38.68183333333333,
44.5825,
46.84282499999999,
47.233916666666666,
47.974999999999994,
47.63383333333333,
43.992083333333326,
41.49008333333333,
45.913375,
46.82482916666666,
46.113,
48.250958333333344,
46.45316666666667,
41.579141666666665,
39.94145833333333,
44.20025,
45.47297916666667,
41.384375,
39.53990833333333,
37.2646625,
34.102000000000004,
33.16591666666667,
34.597500000000004,
34.00089166666667,
32.8945375,
32.762008333333334,
31.970708333333334,
30.51266666666666,
31.015833333333333,
31.950541666666666,
32.2114,
30.266241666666666,
30.368875000000003,
30.656391666666664,
30.229125,
29.912458333333333,
30.6055,
32.02259166666667,
32.97328333333333,
33.97638333333333,
34.03866666666667,
33.49044166666667,
33.16166666666666,
35.94295833333334,
37.75114166666666,
40.66129166666667,
40.48175,
38.856458333333336,
37.599875,
36.741083333333336,
38.994708333333335,
41.80777916666666,
41.87198333333333,
42.43839166666667,
43.573412499999996,
36.8109375,
36.54604166666667,
42.77279166666666,
42.624224999999996,
42.045408333333334,
43.19891249999999,
43.659887499999996,
37.17189583333333,
37.129958333333335,
40.95204166666666,
41.588391666666666,
40.1295375,
42.64106666666666,
42.72143333333333,
37.54295833333333,
36.580937500000005,
43.17279583333333,
40.11957083333333,
41.114133333333335,
39.62529583333333,
39.7395,
34.59144583333333,
34.103787499999996,
40.981100000000005,
41.68335833333333,
40.82608333333334,
41.0287375,
40.898125,
35.405254166666666,
35.89557083333332,
41.672466666666665,
41.09311666666667,
41.09246666666667,
39.455683333333326,
33.913262499999995,
33.55957083333333,
33.207,
38.151900000000005,
39.128304166666666,
39.3939375,
40.01978333333333,
41.25270416666666,
34.736958333333334,
33.318558333333335,
39.0908,
39.661224999999995,
39.169404166666666,
39.26945,
39.89172500000001,
34.17194166666666,
32.882108333333335,
39.85118333333333,
39.6333875,
39.45488333333333,
36.11288333333333,
35.1174,
35.47354166666667,
36.34529583333333,
38.99139583333333,
41.332979166666675,
41.223325,
40.47215416666667,
40.77130833333334,
37.45099999999999,
36.29343333333333,
41.75957083333333,
39.06317083333333,
35.98990416666667,
42.46070416666667,
43.31326250000001,
39.256454166666664,
37.616308333333336,
42.66503333333333,
43.33792916666667,
42.25048333333333,
41.97585833333333,
42.53079583333334,
38.639783333333334,
37.56628333333333,
43.417454166666666,
42.25550833333334,
42.247391666666665,
41.761962499999996,
41.48125,
31.602470833333335,
43.59590416666667,
43.42722500000001,
34.230325,
39.70251666666667,
44.07010833333334,
40.120645833333334,
45.631249999999994,
47.328208333333336,
45.15951666666667,
36.639745833333336,
40.071445833333335,
36.04694583333333,
40.235791666666664,
34.99754166666666,
46.40159166666667,
46.17913333333333,
36.01430416666667,
40.15665833333334,
35.63797916666667,
39.54307916666666,
33.94467083333333,
45.4567,
46.08101666666666,
44.06815,
38.45503333333333,
31.90135,
37.45826666666666,
30.672783333333328
