vento
2.0925,
3.7358333333333333,
5.7575,
7.201249999999999,
7.75,
5.379166666666666,
2.52875,
5.3808333333333325,
8.323333333333332,
10.232916666666666,
6.611249999999999,
3.2262500000000003,
2.638333333333333,
3.3958333333333335,
4.3495833333333325,
3.255833333333334,
3.2770833333333336,
8.138333333333334,
7.183333333333334,
7.2683333333333335,
9.339583333333332,
7.6987499999999995,
7.021666666666666,
8.005833333333333,
8.569166666666666,
7.337083333333333,
8.459166666666667,
5.95,
5.164166666666667,
4.6658333333333335,
6.368333333333333,
4.0633333333333335,
2.5675000000000003,
4.47375,
4.928333333333334,
1.5041666666666664,
2.702083333333333,
2.3208333333333333,
4.472083333333334,
3.90625,
5.607083333333333,
4.93625,
4.090416666666667,
3.5858333333333334,
3.3691666666666666,
4.98,
3.8008333333333333,
2.5833333333333335,
4.885000000000001,
4.360833333333333,
7.136666666666667,
5.395416666666667,
3.62125,
7.030833333333334,
3.315416666666667,
5.315833333333333,
4.325,
4.8925,
6.7299999999999995,
4.785833333333334,
7.730416666666667,
6.391249999999999,
4.5075,
6.042916666666668,
4.182083333333334,
1.7525000000000002,
2.2929166666666667,
2.08375,
2.8825,
6.114999999999999,
4.222916666666666,
4.0,
6.263333333333333,
7.294583333333333,
5.07625,
6.945416666666667,
5.95625,
7.18875,
6.896249999999999,
3.87625,
4.777083333333334,
5.969166666666666,
5.190833333333333,
7.265000000000001,
5.8566666666666665,
6.8254166666666665,
6.168333333333333,
4.886666666666667,
7.927916666666666,
7.070833333333333,
5.73375,
6.773333333333333,
7.675416666666667,
7.480833333333334,
10.145,
7.457916666666667,
5.795416666666667,
4.4991666666666665,
4.212916666666667,
4.91,
3.8745833333333333,
2.6458333333333335,
1.27,
1.38375,
9.20875,
10.104583333333334,
7.075,
8.3075,
8.949583333333333,
7.49125,
3.766666666666667,
2.3508333333333336,
1.4804166666666667,
2.8479166666666664,
2.13875,
1.7233333333333334,
1.7891666666666666,
2.8608333333333333,
