Total de Energia Produzida
48.31517916666667,
38.68723083333333,
69.5743989293482,
122.8786818933331,
126.06119366467573,
109.25847098280619,
87.01222975292237,
83.4572125,
43.25182291666666,
35.28457458333333,
87.55944479777236,
128.10287917262778,
123.90817190448651,
108.95850874697757,
89.21177746838195,
83.66298333333333,
36.70012916666667,
32.346167083333334,
74.60440064788179,
117.70531153192078,
114.3422070281813,
104.42452922209232,
98.77691010945047,
87.02473333333333,
42.42011208333333,
35.918794999999996,
81.82452689002247,
141.5014002437651,
143.0605994002525,
129.2533326981556,
100.42363006975069,
88.72197083333333,
46.758257083333326,
38.46147791666667,
85.8346931292727,
140.78554261782554,
140.8882122992966,
128.9518211992548,
98.88755693460234,
87.01035416666667,
45.62408791666666,
37.594116666666665,
90.9451111076819,
137.28561330896673,
129.8430701407378,
118.96504004349816,
100.33683113070967,
82.37133750000001,
34.999916666666664,
32.397832916666665,
95.1629377579693,
128.9714966127258,
127.89725219530919,
118.58627067714204,
96.28120181024084,
87.91177916666668,
42.941530416666666,
36.41001708333333,
71.76564158397797,
118.83115929842984,
118.9161546912222,
110.92936807384103,
103.45188388419206,
87.88599583333334,
46.12949083333332,
37.98508124999999,
99.4539064790379,
170.91623395331754,
163.0840759885212,
145.84232024983078,
108.89266481075495,
84.13213164183182,
49.95203545014833,
55.182714496145195,
114.80369252233427,
165.8061807115137,
164.0987129768766,
148.69151340479763,
120.47253306049632,
92.46739675157043,
44.872822455114374,
38.43018930656825,
64.4903780725341,
125.0625253402817,
132.83260618416395,
123.01072865904999,
106.55186476819061,
89.54207916666667,
46.80630333333333,
38.7631925,
89.75389219993164,
134.26561811423556,
120.7521724114089,
105.91954768473835,
103.64323039970263,
87.64204583333333,
38.16189541666667,
34.127795416666665,
89.15920065346401,
130.06516829392177,
134.4499334363515,
124.24747749942222,
103.77575062954188,
86.03157916666666,
37.65247624999999,
34.43808791666666,
98.17637475777572,
135.79769679196565,
135.5458231713453,
126.6357661701145,
108.14286707835258,
89.23714166666666,
43.83898875,
36.66576791666667,
71.492669793517,
113.98059841124075,
115.07498386259252,
104.19788035806778,
97.3205172599466,
86.69302083333332,
42.291890889817495,
57.56693158844662,
124.86426117722374,
141.61585297416312,
133.03877026379337,
124.32019965683594,
94.56905370395603,
84.66307916666665,
33.01374517313552,
32.06328841018092,
75.40183868191397,
124.77215551685586,
135.24778835837088,
123.83842449027024,
95.17551402440705,
89.41613749999999,
43.570098333333334,
38.876791279478994,
81.91580258402256,
143.74649889230398,
133.73395015889056,
121.03087941820043,
107.00923105127548,
88.19985833333334,
46.49234166666667,
38.21633791666666,
70.73960775750376,
126.61295715398096,
132.0764054446333,
121.61293351464928,
102.29398690883906,
86.5155125,
37.97694958333333,
33.74640041666666,
81.53669179931056,
137.9689056861202,
131.33935696438263,
120.7614413983101,
90.18659144644911,
81.5321960828071,
57.64236919325343,
102.59584602484777,
91.2674705212542,
155.6656111998844,
138.2388707763301,
129.85969067586836,
106.49736790473426,
87.48685,
43.43433916666666,
36.66794958333333,
83.40367366345387,
137.41274454591098,
148.2382697349919,
138.2642889960556,
104.14388641444592,
86.3429625,
44.86695041666666,
36.91695708333333,
75.46992427364457,
120.0829101547435,
128.52876158638566,
119.30065290074532,
97.4393813308406,
83.39077083333333,
40.787634501806295,
40.00282757594573,
101.15280721762677,
153.57899036627913,
144.5673395617257,
144.0420699555868,
97.24191773928344,
88.03672916666665,
43.211115,
36.19219749999999,
81.91865516109821,
163.5283465036796,
166.87645557329176,
158.71605419029558,
110.61049949948838,
85.29774583333334,
45.75488874999999,
37.70741458333333,
71.92055317829677,
106.89246076006225,
115.88515254193088,
121.38207927703814,
96.8548967904355,
83.56827916666666,
30.738719813295432,
34.33289743448056,
71.83355764406517,
127.35199036039015,
146.20844260400446,
149.84263602616187,
100.18942303048391,
81.96772916666666,
35.808918333333324,
30.225353293045597,
78.59847288332989,
126.44588098594835,
127.72500763188236,
122.47442766941403,
100.29296453717424,
87.64303749999999,
43.54456291666666,
34.78699254051283,
93.65873442975911,
128.98472958473428,
123.1120411085875,
118.41197069633546,
95.45962518265219,
85.34237083333333,
44.40681708333332,
36.708459166666664,
66.72114484755016,
106.09036546019004,
111.75816316284454,
103.03811546751538,
101.36833639695625,
83.62728333333334,
37.15360337003385,
35.6406357565779,
85.95664816129059,
145.35459023405426,
151.613865451911,
143.15169527517347,
104.09128729598827,
85.79506666666666,
41.16252999999999,
30.903350174851923,
91.09794703175757,
129.0041404644196,
132.92525044816358,
125.9518230537393,
107.2974610686484,
83.46960833333331,
44.51728875,
36.078255,
86.01846745250128,
130.19127681442544,
135.06290328735355,
129.31637678744943,
